"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"234","5486","5483","None",2018-11-23,0,0.17,6,0,18,"yes"
"235","5056","5483","None",2018-11-25,0,0.25,4,0,9,"yes"
"236","5477","5483","None",2018-11-24,0,0,1,0,15,"yes"
"237","5480","5483","None",2018-11-24,0,0,1,0,13,"yes"
"238","5425","5483","None",2018-11-25,0.1,0,6,1,10,"yes"
"239","5476","5483","None",2018-11-25,0,0.25,4,0,25,"yes"
"240","5589","5483","Melia azedarach_437",2018-11-23,0,0.6,5,0,8,"yes"
"241","5479","5486","None",2018-11-22,0,0.8,5,0,3,"yes"
"242","5462","5486","1",2018-11-27,0,0.5,2,0,26,"yes"
"243","5471","5486","None",2018-11-29,0,1,1,0,5,"yes"
"244","5473","5486","None",2018-11-29,0,1,3,0,15,"yes"
"245","5056","5486","None",2018-11-29,0,0.25,4,0,4,"yes"
"246","5477","5486","None",2018-11-29,0,1,4,0,10,"yes"
"247","5480","5486","None",2018-11-23,0.07,0.5,4,1,15,"yes"
"248","5483","5486","None",2018-11-23,0,0.83,6,0,15,"yes"
"249","5476","5486","unknown_95",2018-12-05,0,0.67,3,0,7,"yes"
"250","5589","5486","None",2018-11-24,0,0.33,3,0,6,"yes"
"251","5458","5589","Melia azedarach_437",2018-11-23,0,0.67,3,0,15,"yes"
"252","5462","5589","Melia azedarach_437",2018-11-23,0,0.8,5,0,10,"yes"
"253","5471","5589","Ficus carica_673",2018-11-24,0,1,1,0,22,"yes"
"254","5473","5589","Melia azedarach_437",2018-11-27,0,0.67,3,0,19,"yes"
"255","5486","5589","None",2018-11-24,0,0.67,3,0,18,"yes"
"256","5056","5589","Melia azedarach_437",2018-11-25,0,0.67,9,0,9,"yes"
"257","5483","5589","Melia azedarach_437",2018-11-23,0,0.4,5,0,15,"yes"
"258","5425","5589","Melia azedarach_437",2018-11-25,0,0.67,3,0,10,"yes"
"259","5058","5590","None",2019-01-10,0,0.25,4,0,8,"yes"
"260","5680","5594","unknown_2631",2019-02-08,0.25,0.33,3,1,4,"yes"
"261","5600","5594","None",2019-02-13,0,1,1,0,34,"yes"
"262","5479","5597","None",2018-11-22,0,0.67,3,0,3,"yes"
"263","5458","5597","None",2018-11-23,0.07,0,3,1,15,"yes"
"264","5473","5597","None",2018-11-23,0.08,0.25,4,2,25,"yes"
"265","5486","5597","None",2018-12-07,0,0,2,0,15,"yes"
"266","5056","5597","None",2018-12-24,0,0,1,0,7,"yes"
"267","5477","5597","Ficus carica_414",2018-11-25,0,0,3,0,14,"yes"
"268","5480","5597","None",2018-11-24,0,0.5,2,0,13,"yes"
"269","5483","5597","Persimmon_32",2018-11-23,0.07,0.5,6,1,15,"yes"
"270","5425","5597","None",2018-11-25,0,0,2,0,10,"yes"
"271","5476","5597","None",2018-11-25,0,0,2,0,25,"yes"
"272","5589","5597","None",2018-12-12,0,0,1,0,6,"yes"
"273","5732","5598","None",2019-03-12,0,0.5,2,0,19,"yes"
"274","5764","5599","None",2019-09-25,0,1,3,0,7,"yes"
"275","5741","5599","None",2019-09-26,0,1,1,0,4,"yes"
"276","5751","5599","None",2019-09-25,0,0.33,3,0,3,"yes"
"277","5745","5599","None",2019-11-21,0,0,1,0,3,"yes"
"278","6182","5599","Ficus microcarpa_36",2019-09-23,0,0.25,4,0,19,"yes"
"279","5666","5599","None",2019-09-24,0,1,1,0,15,"no"
"280","5743","5599","None",2019-10-02,0,0,2,0,14,"yes"
"281","5685","5599","None",2019-09-25,0,0.5,2,0,19,"yes"
"282","5677","5600","None",2019-02-10,0,0,1,0,5,"yes"
"283","5679","5600","Citrus_5",2019-02-11,0,0,1,0,12,"yes"
"284","5680","5600","Citrus_5",2019-02-08,0,1,1,0,4,"yes"
"285","5679","5660","Citrus_5",2019-02-09,0,0,2,0,8,"yes"
"286","5680","5660","Citrus_5",2019-02-08,0.25,0.67,3,1,4,"yes"
"287","5594","5660","unknown_2631",2019-02-08,0,0.67,3,0,3,"yes"
"288","5600","5660","Citrus_5",2019-02-08,0,0,1,0,14,"yes"
"289","5680","5661","unknown_2631",2019-02-08,0.25,0.33,3,1,4,"yes"
"290","5594","5661","unknown_2631",2019-02-08,0,0.5,2,0,3,"yes"
