"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"279","5751","6246","unknown_642",2019-11-10,0,1,10,0,1,"yes","Palm"
"280","5749","6246","Loquat_443",2019-11-06,0,1,2,0,2,"yes","c(""Carob"", ""Ficus religiosa"")"
"281","6181","6246","Loquat_443",2019-11-06,0,0.75,4,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"282","5781","6246","Loquat_443",2019-11-06,0,0.67,3,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"283","6242","6246","unknown_1141",2019-11-11,0,0.86,7,0,2,"yes","Carob"
"284","5662","6246","None",2019-11-09,0,1,2,0,1,"yes","Carob"
"285","5667","6246","None",2019-11-07,0,0.5,4,0,1,"yes","Ficus religiosa"
"286","6267","6246","None",2019-11-17,0,0.5,2,0,1,"yes","Ficus microcarpa"
"287","6271","6246","unknown_642",2019-11-11,0,0.73,11,0,1,"yes","Palm"
"288","5744","6246","unknown_463",2019-11-07,0,0.55,11,0,2,"yes","Ficus religiosa"
"289","6181","6250","unknown_1431",2019-11-07,0,0.5,6,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"290","5781","6250","unknown_1431",2019-11-08,0,0.67,3,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"291","6181","6251","None",2019-11-06,0,0.88,8,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"292","5781","6251","None",2019-11-06,0,0.83,6,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"")"
"293","6265","6251","unknown_1433",2019-11-16,0,0.62,8,0,1,"yes","Ficus religiosa"
"294","5744","6251","Melia azedarach_652",2019-12-03,0,0.5,4,0,2,"yes","Carob"
"295","5751","6255","unknown_642",2019-11-09,0,1,4,0,1,"yes","Palm"
"296","5745","6255","None",2019-11-06,0,1,2,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"297","5770","6255","None",2019-11-07,0,0,1,0,1,"yes","c(""Palm"", ""Carob"")"
"298","6245","6255","Ficus carica_671",2019-11-06,0,0.33,3,0,1,"yes","Ficus sycomorus"
"299","6265","6255","unknown_641",2019-11-06,0,0.17,6,0,1,"yes","Palm"
"300","5778","6255","None",2019-11-06,0,0.4,5,0,1,"yes","Palm"
"301","5744","6255","None",2019-11-28,0,1,1,0,1,"yes","c(""Carob"", ""Ficus religiosa"", ""Palm"")"
"302","6240","6255","None",2019-12-14,0,0,2,0,1,"yes","Carob"
"303","5781","6258","Ficus religiosa_12",2019-11-12,0.33,0.33,3,1,3,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"304","6251","6258","None",2019-11-08,0,0.25,4,0,1,"yes","Ficus religiosa"
"305","5751","6263","None",2019-11-10,0,1,1,0,1,"yes","Palm"
"306","6181","6263","Citrus_12",2019-11-07,0,0.33,3,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"307","5781","6263","Ficus sycomorus_3",2019-11-07,0,1,1,0,1,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"308","6250","6263","None",2019-11-08,0,0.5,2,0,1,"yes","Palm"
"309","5778","6263","None",2019-12-09,0,0,1,0,1,"yes","Palm"
"310","5745","6265","None",2019-11-06,0,1,4,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"311","6242","6265","unknown_642",2019-11-11,0,0.75,4,0,2,"yes","Carob"
"312","5778","6265","None",2019-11-06,0,0.14,7,0,1,"yes","Palm"
"313","5744","6265","Washingtonia_434",2019-12-03,0,0.4,5,0,2,"yes","Carob"
"314","6181","6267","Citrus_8",2019-11-10,0,0,1,0,1,"yes","Ficus religiosa"
"315","5781","6267","Mulberry_288",2019-11-11,0,0.8,5,0,4,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"", ""Palm"", ""Ficus microcarpa"")"
"316","6238","6267","unknown_1434",2019-11-25,0,0.5,2,0,1,"yes","Carob"
"317","5751","6271","unknown_641",2019-11-09,1,1,4,1,1,"yes","Palm"
"318","5745","6271","None",2019-11-06,0,1,3,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"319","5770","6271","None",2019-11-06,0.5,0.25,4,1,2,"yes","c(""Palm"", ""Carob"")"
"320","6242","6271","unknown_642",2019-11-06,0.5,0.4,5,1,2,"yes","c(""Carob"", ""Palm"")"
"321","6265","6271","unknown_641",2019-11-06,1,0.4,10,1,1,"yes","Palm"
"322","5744","6271","None",2019-12-03,0,0.33,3,0,2,"yes","Carob"
"323","6380","6272","Citrus_5",2020-02-13,0,1,1,0,1,"yes","Carob"
"324","6364","6272","Citrus_5",2020-02-15,0,0,1,0,1,"yes","Carob"
"325","6365","6272","Citrus_5",2020-02-13,0,0.5,2,0,1,"yes","Ficus microcarpa"
"326","6380","6358","Citrus_5",2020-02-11,0,1,4,0,1,"yes","Carob"
"327","6364","6358","Citrus_5",2020-02-15,0,0,1,0,1,"yes","Carob"
"328","6365","6358","Citrus_5",2020-02-13,0,1,7,0,1,"yes","Ficus microcarpa"
"329","6380","6361","Citrus_5",2020-02-11,0,0.5,2,0,1,"yes","Carob"
"330","6364","6361","Citrus_5",2020-02-15,0,0,1,0,1,"yes","Carob"
"331","6380","6363","Citrus_5",2020-02-11,0,1,2,0,1,"yes","Carob"
"332","6364","6363","Citrus_5",2020-02-15,0,0,1,0,1,"yes","Carob"
"333","6371","6364","Citrus_5",2020-02-15,0,1,1,0,1,"yes","Carob"
"334","6380","6365","Citrus_5",2020-02-11,0,1,2,0,1,"yes","Carob"
"335","6364","6365","Citrus_5",2020-02-15,0,0.5,2,0,1,"yes","Carob"
"336","6364","6366","unknown_2591",2020-02-11,0,1,3,0,3,"yes","Carob"
"337","6371","6366","Citrus_5",2020-02-16,0,1,1,0,1,"yes","Carob"
"338","6380","6371","Citrus_5",2020-02-11,0,1,1,0,1,"yes","Carob"
"339","6364","6371","Citrus_5",2020-02-15,0,0,1,0,1,"yes","Carob"
"340","6364","6380","None",2020-02-14,0,0,2,0,1,"yes","Carob"
"341","6646","6428","Mulberry_655",2020-06-17,0,0.33,3,0,1,"yes","c(""Ficus microcarpa"", ""Palm"", ""Ficus sycomorus"")"
"342","6651","6428","Mulberry_655",2020-06-16,0,0,2,0,1,"yes","Ficus religiosa"
"343","6638","6428","Mulberry_655",2020-06-16,0,0,3,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"344","6646","6591","None",2020-06-16,0,0.5,2,0,2,"yes","c(""Ficus microcarpa"", ""Palm"", ""Ficus sycomorus"")"
"345","6651","6591","None",2020-06-18,0,0.33,3,0,1,"yes","Ficus religiosa"
"346","6638","6635","None",2020-06-19,0,0.33,3,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
